eng,deu,eng_google,deu_google
"The people themselves will soon realise that the soup which they are being served from the EU soup kitchen is very, very thin.","Auch die Bürger werden entdecken, daß die Suppe, die ihnen aus der Suppenküche der EU serviert wird, sehr, sehr dünn ist.","Citizens will also discover that the soup served to them by the EU soup kitchen is very, very thin.","Die Menschen selbst werden bald merken, dass die Suppe, die sie aus der EU-Suppenküche serviert bekommen, sehr, sehr dünn ist."
Various Member States are considering arrangements to shrink their national debts by tying pension funds to their debts.,"Verschiedene Mitgliedstaaten ziehen Maßnahmen in Betracht, um ihre Staatsverschuldung zu reduzieren, indem sie die Rentenfonds an ihre Schulden koppeln.",Several Member States are considering measures to reduce their public debt by linking pension funds to their debt.,"Verschiedene Mitgliedstaaten erwägen Maßnahmen zur Verringerung ihrer Staatsverschuldung, indem sie ihre Pensionsfonds an ihre Schulden binden."
"The European Parliament aims to improve social conditions and employment, but the methods used are doing exactly the opposite.","Das Europa-Parlament hat das Ziel, die sozialen Umstände und die Beschäftigungslage zu verbessern, aber die eingesetzten Methoden bewirken das genaue Gegenteil.","The European Parliament aims to improve social conditions and employment, but the methods it uses achieve the exact opposite.","Das Ziel des Europäischen Parlaments besteht darin, die sozialen Bedingungen und die Beschäftigung zu verbessern, doch die angewandten Methoden bewirken genau das Gegenteil."
Most of the report is about financial control. That is reasonable because it comes from the Budgetary Control Committee.,"In diesem Bericht geht es vor allem um die Finanzkontrolle, was vernünftig ist, denn schließlich stammt er aus der Feder des Ausschusses für Haushaltskontrolle.","This report is primarily concerned with financial control, which is sensible, given that it was written by the Committee on Budgetary Control.","Der Bericht befasst sich größtenteils mit der Finanzkontrolle. Das ist vernünftig, da er vom Haushaltskontrollausschuss stammt."
"For leaders, project managers and negotiators finding themselves in difficult situations, our coaching is tailor-made for individuals and teams according to your specifications and needs.","Für Führungskräfte, Projektleiter oder Verhandlungspartner in schwierigen Situationen. Individuell oder im Team sind die Begegnungen immer zugeschnitten auf Ihre speziellen Bedürfnisse und Bedarfe.","For executives, project managers, or negotiators in difficult situations. Whether individually or in teams, the sessions are always tailored to your specific needs and requirements.","Für Führungskräfte, Projektmanager und Verhandlungsführer in schwierigen Situationen bieten wir individuell auf Ihre Anforderungen und Bedürfnisse zugeschnittenes Coaching für Einzelpersonen und Teams an."
I would like to add that consultation and information are things that can make it much easier to resolve restructuring problems.,"Lassen Sie mich hinzufügen, daß über Konsultation und Information Lösungen für Umstrukturierungsprobleme wesentlich leichter herbeigeführt werden können.",Let me add that consultation and information make it much easier to find solutions to restructuring problems.,"Ich möchte hinzufügen, dass Beratung und Information Dinge sind, die die Lösung von Umstrukturierungsproblemen erheblich erleichtern können."
"Some people perhaps think it would be better to have only one Capital of Culture per year, alternating yearly between the EU 15 of the old Member States and the EU 10 of new Member States.","Vielleicht halten es einige für sinnvoller, pro Jahr nur eine Kulturhauptstadt, alternierend zwischen den 15 alten und den zehn neuen EU-Mitgliedstaaten, zu benennen.","Perhaps some consider it more sensible to name only one Capital of Culture per year, alternating between the 15 old and the ten new EU Member States.","Manche Leute meinen vielleicht, es wäre besser, nur eine Kulturhauptstadt pro Jahr zu haben, und zwar abwechselnd zwischen den 15 alten EU-Mitgliedstaaten und den 10 neuen EU-Mitgliedstaaten."
"I regret having to say, Madam Vice-President, on behalf of the lead Committee, that the proposal, as it stands, has found no supporters in this House, and that some of us reject it outright.","Frau Vizepräsidentin, es tut mir leid, aber ich muss es für den federführenden Ausschuss deutlich sagen: Der Vorschlag hat, so wie er ist, im Europäischen Parlament keine Freunde gefunden.","Madam Vice-President, I am sorry, but I must say clearly on behalf of the committee responsible: the proposal, as it stands, has not found any friends in the European Parliament.","Ich muss leider im Namen des federführenden Ausschusses, Frau Vizepräsidentin, mitteilen, dass der Vorschlag in seiner jetzigen Form in diesem Haus keine Anhänger gefunden hat und dass einige von uns ihn rundweg ablehnen."
We want the reconstruction of Kosovo.,Wir wollen den Wiederaufbau des Kosovo.,We want the reconstruction of Kosovo.,Wir wollen den Wiederaufbau des Kosovo.
"Contractual law lies at the heart of all economic and social life, and in the Single Market contracts increasingly tend to be between actors resident in different Member States.","Das Vertragsrecht bildet die Grundlage des gesamten wirtschaftlichen und sozialen Lebens, und im Binnenmarkt werden Verträge zunehmend zwischen Wirtschaftsbeteiligten abgeschlossen, die in unterschiedlichen Staaten ansässig sind.","Contract law forms the basis of all economic and social life, and in the internal market, contracts are increasingly concluded between economic operators established in different countries.","Das Vertragsrecht ist der Kern des gesamten wirtschaftlichen und gesellschaftlichen Lebens, und im Binnenmarkt werden Verträge zunehmend zwischen Akteuren geschlossen, die ihren Sitz in verschiedenen Mitgliedstaaten haben."
* parking * closed parking * non-smoking rooms * business center * internet access * elevator/lift * meeting/banquet facilities * restaurant/cafe * room service * room service 24 hour * post/parcel service * 24 hour front desk * dry cleaning/laundry service * complimentary newspapers in lobby * audio-visual equipment * multilingual staff * medical assistance available * umbrella * airport transportation (surcharge) * safe-deposit box - front desk * shoe shine * translation service * secretary service * concierge * Buffet breakfast included in the price.,* Parkplatz * Geschlossener Parkplatz * Nichtraucherzimmer * Konferenzraum * Internetverbindung * Lift * Möglichkeit Bankette zu organisieren * Gastwirtschaft / Kaffeehaus * Zimmerservice * 24-Stunden Zimmerservice * Postleistung * 24-Stunden Rezeptionsdienst * Wäscherei * Zeitungen im Lobbybereich gratis * Audiovisula-Geräte * Englisch sprechendes Personal * Arztleistungen gegen Aufpreis * Regenschirm * Transfer zum Flughafen (Preiszuschlag) * Tresor an der Rezeption * Schuhputzmaschine * Übersetzerleistung * Sekretariatservice * concierge * Buffet Frühstück im Preis inbegriffen.,* Parking * Closed parking * Non-smoking rooms * Conference room * Internet connection * Elevator * Possibility of organizing banquets * Restaurant / Coffee house * Room service * 24-hour room service * Postal service * 24-hour reception service * Laundry * Free newspapers in the lobby area * Audiovisual equipment * English speaking staff * Medical services at an additional cost * Umbrella * Transfer to the airport (extra charge) * Safe at the reception * Shoe shine machine * Translation service * Secretarial service * Concierge * Buffet breakfast included in the price.,* Parkplatz * geschlossener Parkplatz * Nichtraucherzimmer * Business Center * Internetzugang * Aufzug * Tagungs-/Banketteinrichtungen * Restaurant/Café * Zimmerservice * 24-Stunden-Zimmerservice * Post-/Paketdienst * 24-Stunden-Rezeption * Trockenreinigung/Wäschereiservice * kostenlose Zeitungen in der Lobby * audiovisuelle Geräte * mehrsprachiges Personal * medizinische Hilfe verfügbar * Regenschirm * Flughafentransfer (Aufpreis) * Safe an der Rezeption * Schuhputzmaschine * Übersetzungsdienst * Sekretariatsservice * Concierge * Frühstücksbuffet im Preis inbegriffen.
"Transforming the Group’s record backlog of €262.8 billion into benchmark profitability will depend on the Group’s ability to improve operational performance, measured in terms of time, cost and quality, both within EADS and at its key suppliers.","Ob der Rekordauftragsbestand von Mrd. € 262,8 in eine Rentabilität umgewandelt werden kann, die Maßstäbe setzt, hängt von der Fähigkeit der Gruppe ab, die Wirtschaftlichkeit, gemessen in Zeit, Kosten und Qualität, innerhalb der EADS und bei ihren Hauptlieferanten zu verbessern.","Whether the record order backlog of €262.8 billion can be translated into benchmark profitability depends on the Group&#39;s ability to improve efficiency, measured in time, cost and quality, within EADS and among its key suppliers.","Die Umwandlung des Rekordauftragsbestands des Konzerns in Höhe von 262,8 Milliarden Euro in eine Benchmark-Profitabilität wird von der Fähigkeit des Konzerns abhängen, die operative Leistung sowohl innerhalb von EADS als auch bei seinen wichtigsten Zulieferern hinsichtlich Zeit, Kosten und Qualität zu verbessern."
The Commission statement and our debate today highlight a very important problem that the whole world - indeed mankind globally - should take an interest in.,"Die Erklärung der Kommission und unsere heutige Aussprache sind einem sehr wichtigen Problem gewidmet, das die ganze Welt - ja die Menschheit überhaupt - betrifft.","The Commission&#39;s statement and our debate today are dedicated to a very important issue that concerns the whole world - indeed, humanity in general.","Die Erklärung der Kommission und unsere heutige Debatte heben ein sehr wichtiges Problem hervor, das die ganze Welt – ja die gesamte Menschheit – interessieren sollte."
"   Mr President, in a year and a half’s time, on 18 July 2006, it will be seventy years since the fascist led by General Franco, which was the prelude to the Second World War and the beginning of a savage civil war and almost four decades of dictatorship.","   – Herr Präsident! In anderthalb Jahren, am 18. Juli 2006, jährt sich zum siebzigsten Mal der von General Franco angeführte faschistische Putsch, der das Vorspiel zum Zweiten Weltkrieg und den Beginn eines grausamen Bürgerkriegs und einer fast vier Jahrzehnte währenden Diktatur darstellte.","– Mr President, in a year and a half, on 18 July 2006, we will mark the seventieth anniversary of the fascist coup led by General Franco, which was the prelude to the Second World War and the beginning of a brutal civil war and a dictatorship lasting almost four decades.","Herr Präsident, in anderthalb Jahren, am 18. Juli 2006, jährt sich der faschistische Krieg unter General Franco zum siebzigsten Mal, der den Auftakt zum Zweiten Weltkrieg, den Beginn eines grausamen Bürgerkriegs und einer fast vier Jahrzehnte dauernden Diktatur darstellte."
"All customer service questions will be answered within at least 48 hours, with an average response time between 2-6 hours.",Alle Kundenanfragen werden innerhalb 48 Stunden bearbeitet (durchnittliche Antwortzeit 2 bis 6 Stunden).,All customer inquiries are processed within 48 hours (average response time 2 to 6 hours).,"Alle Kundendienstfragen werden innerhalb von mindestens 48 Stunden beantwortet, die durchschnittliche Antwortzeit beträgt 2–6 Stunden."
So they are walking away with a great deal of cash.,Sie haben also unter dem Strich einen Gewinn gemacht.,"So, on balance, you made a profit.",Sie gehen also mit einer Menge Bargeld nach Hause.
"The sculptures, some of which are monumental in size, combine baroque influences and the academic tradition of the 19th century with Art Deco elements and Las Vegas kitsch.",Einflüsse des Barock und der akademischen Tradition des 19. Jahrhunderts verbinden sich in den teilweise monumentalen Arbeiten mit Art Deco-Elementen und Las Vegas-Kitsch.,Influences of the Baroque and the academic tradition of the 19th century combine in these sometimes monumental works with Art Deco elements and Las Vegas kitsch.,Die zum Teil monumentalen Skulpturen verbinden barocke Einflüsse und die akademische Tradition des 19. Jahrhunderts mit Art-Déco-Elementen und Las-Vegas-Kitsch.
"   Thank you very much, Mr President-in-Office of the Council.","   Vielen Dank, Herr amtierender Ratspräsident.","Thank you, Mr President-in-Office of the Council.","Vielen Dank, Herr amtierender Ratspräsident."
"The benefits have become more dubious, while the costs and risks have grown increasingly evident.","Die Vorteile sind zweifelhafter geworden, während die Kosten und Gefahren zunehmend klarer erkennbar sind.","The benefits have become more dubious, while the costs and dangers are increasingly clear.","Der Nutzen ist fragwürdiger geworden, während die Kosten und Risiken immer deutlicher werden."
"Specifically, the log files of our web server, as a general rule, only contain the user's IP address, the last page visited by the user, the browser used, date, time and the file requested.","Namentlich enthalten die Log-files unserer Webserver in der Regel nur Ihre IP-Adresse, die zuletzt besuchte Seite des Nutzers, den verwendeten Browser, Datum, Uhrzeit und die angeforderte Datei.","In particular, the log files of our web servers usually only contain your IP address, the last page visited by the user, the browser used, the date, time and the requested file.","Konkret enthalten die Logfiles unseres Webservers im Regelfall nur die IP-Adresse des Nutzers, die zuletzt vom Nutzer besuchte Seite, den verwendeten Browser, Datum, Uhrzeit und die angeforderte Datei."
This increases the speed and performance of access and data retrieval. Defrag your system with Diskeeper today!,So wird die Geschwindigkeit und Leistung beim Datenzugriff erhöht.,This increases the speed and performance of data access.,Dies erhöht die Geschwindigkeit und Leistung beim Zugriff und Datenabruf. Defragmentieren Sie Ihr System noch heute mit Diskeeper!
"Mr Böge, I cannot quite fathom what you mean by defective methods of calculation.","Ich kann nicht ganz nachvollziehen, Herr Böge, was Sie mit fehlerhaften Berechnungsmethoden meinen.","I don&#39;t quite understand, Mr Böge, what you mean by incorrect calculation methods.","Herr Böge, was Sie mit fehlerhaften Berechnungsmethoden meinen, ist mir nicht ganz klar."
"Indeed, his triumph exposed a rift among Iran’s democratic forces, which were divided over whether to participate in the election, and rendered irrelevant the Green Movement born in 2009.","Tatsächlich ist durch seinen Sieg ein Zwiespalt innerhalb der demokratischen Kräfte in Iran offenbar geworden, die sich uneinig darüber waren, ob sie sich an der Wahl beteiligen sollen und der die 2009 geborene Gründe Bewegung bedeutungslos werden ließ.","In fact, his victory revealed a split within the democratic forces in Iran, which were divided over whether to participate in the election and which rendered the Green Movement, born in 2009, meaningless.","Tatsächlich offenbarte sein Triumph eine Kluft zwischen den demokratischen Kräften im Iran, die sich über die Frage, ob sie an der Wahl teilnehmen sollten, uneinig waren, und machte die 2009 entstandene Grüne Bewegung irrelevant."
The Zeeuws-Vlaanderen region is perfect for your quiet and peaceful holidays.,Die Zeeuws-Vlaanderen-Region ist perfekt geeignet für einen ruhigen und friedvollen Ferienaufenthalt.,The Zeeuws-Vlaanderen region is perfect for a quiet and peaceful holiday.,Die Region Zeeuws-Vlaanderen ist perfekt für Ihren ruhigen und erholsamen Urlaub.
"Lastly, however, subsidiarity has been invoked.",Schließlich wurde jedoch auch die Subsidiarität angesprochen.,"Finally, however, subsidiarity was also addressed.",Schließlich wurde jedoch die Subsidiarität ins Feld geführt.
"The Committee on Budgets, virtually unanimously as I said, endorsed the idea of this combination while wishing to stress its exceptional nature, having regard to the fact that it attaches particular importance to its relations with the countries concerned.","Der Haushaltsausschuß befürwortete, wie ich sagte, fast einstimmig den Gedanken dieser Verbindung und wollte unter Berücksichtigung der Tatsache, daß er seinen Beziehungen mit den betroffenen Ländern eine besondere Bedeutung beimißt, ihren Ausnahmecharakter betonen.","As I said, the Committee on Budgets was almost unanimous in its support of the idea of this link and, taking into account the fact that it attaches particular importance to its relations with the countries concerned, wished to stress its exceptional nature.","Der Haushaltsausschuss hat, wie ich bereits sagte, die Idee dieser Kombination nahezu einstimmig befürwortet, gleichzeitig aber ihren außergewöhnlichen Charakter unterstrichen, da er den Beziehungen zu den betreffenden Ländern besondere Bedeutung beimisst."
It is not enough for the EU to lay down tough rules for carbon dioxide emissions. People must be able and willing to change their own consumption and behaviour patterns in order to make a real difference.,"Es reicht nicht aus, dass die EU strenge Regeln für CO2-Emissionen festlegt, die Bürger müssen auch ihre eigenen Verbrauchs- und Verhaltensmuster ändern können und ändern wollen, wenn echte Veränderungen erreicht werden sollen.",It is not enough for the EU to set strict rules on CO2 emissions; citizens must also be able and willing to change their own consumption and behavior patterns if real change is to be achieved.,"Es reicht nicht aus, dass die EU strenge Vorschriften für den Kohlendioxidausstoß erlässt. Um wirklich etwas zu bewirken, müssen die Menschen in der Lage und bereit sein, ihre eigenen Konsum- und Verhaltensmuster zu ändern."
"In the Arab world, many people must spend around half of their income on food, compared with just 5-10% in Europe or the United States.","In der arabischen Welt müssen viele Menschen etwa die Hälfte ihres Einkommens für Lebensmittel ausgeben, verglichen mit nur 5-10% in Europa oder den Vereinigten Staaten.","In the Arab world, many people have to spend about half of their income on food, compared to only 5-10% in Europe or the United States.","In der arabischen Welt müssen viele Menschen rund die Hälfte ihres Einkommens für Lebensmittel ausgeben, verglichen mit nur 5–10 % in Europa oder den Vereinigten Staaten."
"·The search procedure was carried out in a grid pattern: first the foot of the mountain incl. the ridge, then the top of the mountain incl.","Im Rasterverfahren wurde zuerst horizontal der Fuss des Berges inkl. Grat, dann &fraq12; Höhe des Berges inkl. Gipfelgrat, dann 1/3 Höhe des Berges inkl. Schlüsselstelle abgeflogen.","Using a grid method, the base of the mountain including the ridge was first flown horizontally, then the 1/2 height of the mountain including the summit ridge, then 1/3 height of the mountain including the key point.","·Die Suche erfolgte rasterförmig: zuerst der Bergfuß inkl. Grat, dann der Berggipfel inkl."
"Should you need an early breakfast or a packed lunch for your excursions, Alia Club is happy to oblige.","Wünschen Sie ein zeitigeres Frühstück oder ein Picknick-Paket, wenden Sie sich bitte an das freundliche Personal, das Ihre Wünsche gern erfüllt.","If you would like an earlier breakfast or a picnic package, please ask our friendly staff who will be happy to accommodate your requests.","Sollten Sie für Ihre Ausflüge ein frühes Frühstück oder ein Lunchpaket benötigen, ist der Alia Club gerne bereit, Ihnen dies zu ermöglichen."
We can help local authorities to implement related EU policies and to make best use of EU funding.,"Wir können den lokalen Behörden dabei behilflich sein, die entsprechende EU-Politik umzusetzen und EU-Mittel optimal einzusetzen.",We can help local authorities implement relevant EU policies and make the best use of EU funds.,"Wir können lokalen Behörden dabei helfen, entsprechende EU-Richtlinien umzusetzen und EU-Mittel optimal zu nutzen."
We do not need a fleet of cars here in Strasbourg.,Wir brauchen hier in Straßburg keinen Fuhrpark.,We don&#39;t need a fleet of vehicles here in Strasbourg.,Wir brauchen hier in Straßburg keinen Fuhrpark.
"The question that we are supposed to discuss on this panel reads: “Are cultural policies part of democratic policies?” In order to avoid all too general affirmations on the importance of culture in democratic societies (most frequently going along with different normative ideas of what should or should not be conceived as “culture”), I will try to take this question as literally as possible, and answer it as directly as possible.","Die Frage, die wir auf diesem Podium diskutieren sollen, lautet: „Sind Kulturpolitiken Teil von Demokratiepolitiken?“ Um allzu allgemeine Beteuerungen über die Bedeutung der Kultur in demokratischen Gesellschaften zu vermeiden (die zumeist mit verschiedenen normativen Ideen darüber einhergehen, was als „Kultur“ verstanden werden sollte und was nicht), werde ich versuchen, diese Frage so wörtlich wie möglich zu nehmen und sie so direkt wie möglich zu beantworten.","The question we are to discuss on this panel is: “Are cultural policies part of democratic policies?” To avoid overly general assertions about the importance of culture in democratic societies (which usually go hand in hand with various normative ideas about what should and should not be understood as “culture”), I will try to take this question as literally as possible and answer it as directly as possible.","Die Frage, die wir in diesem Panel diskutieren sollen, lautet: „Ist Kulturpolitik Teil der Demokratiepolitik?“ Um allzu allgemeine Aussagen über die Bedeutung von Kultur in demokratischen Gesellschaften zu vermeiden (die meist mit unterschiedlichen normativen Vorstellungen darüber einhergehen, was als „Kultur“ verstanden werden sollte und was nicht), werde ich versuchen, diese Frage so wörtlich wie möglich zu nehmen und so direkt wie möglich zu beantworten."
Super glamorous leather parts with an metallic orange finish.,Glamfaktor hat auf jeden Fall die Applikation in Metallicorange.,The metallic orange application definitely has a glam factor.,Superglamouröse Lederteile mit metallisch orangefarbenem Finish.
in writing. - Serious consideration has to be taken as regards existing Union-wide redress mechanisms such as SOLVIT.,schriftlich. - Es müssen ernsthafte Überlegungen zu EU-weiten Rechtsbehelfen wie SOLVIT angestellt werden.,in writing. - EU-wide redress mechanisms such as SOLVIT must be seriously considered.,schriftlich. – Es müssen ernsthafte Überlegungen hinsichtlich bestehender unionsweiter Rechtsbehelfsmechanismen wie SOLVIT angestellt werden.
Koreans are talking about learning the lessons of Hiddink. But the western model of a meritocratic society is not easy to emulate.,"Die Südkoreaner diskutieren, was man von Hiddink lernen kann, aber das westliche Modell der Leistungsgesellschaft ist nicht so einfach zu übernehmen.","South Koreans are discussing what they can learn from Hiddink, but the Western model of meritocracy is not so easy to adopt.","Die Koreaner sprechen davon, aus Hiddinks Lehren zu lernen. Doch das westliche Modell einer meritokratischen Gesellschaft lässt sich nicht so leicht nachahmen."
You can usually refuse cookies or selectively accept certain cookies by adjusting the preferences in your browser.,"Sie können Ihren Browser i.d.R. so einstellen, daß er Sie benachrichtigt, wenn eine Seite Cookies verwenden möchte.",You can usually set your browser to notify you when a website wants to use cookies.,"Sie können Cookies in der Regel ablehnen oder bestimmte Cookies selektiv akzeptieren, indem Sie die Einstellungen in Ihrem Browser anpassen."
3. SWIFT (vote),3. SWIFT (Abstimmung),3. SWIFT (vote),3. SWIFT (Abstimmung)
Emphasis should also be laid on the statement in paragraph 4 that budgetary restraint needs to be reconciled with the guarantee of sufficient funds for the essential tasks of the European Union.,"Ebenfalls hervorzuheben ist die Erklärung unter Ziffer 4, daß die Haushaltsstrenge mit der Gewährleistung von ""Fonds, die für die wesentlichen Aufgaben der Union ausreichen"" , vereinbart werden muß.",Also worth highlighting is the statement in paragraph 4 that budgetary rigour must be reconciled with ensuring &quot;sufficient funds for the essential tasks of the Union&quot;.,"Hervorzuheben ist auch die Aussage in Absatz 4, dass Haushaltsbeschränkungen mit der Gewährleistung ausreichender Mittel für die wesentlichen Aufgaben der Europäischen Union in Einklang gebracht werden müssen."
Will you succeed with your goals?,Werden Sie Ihre Zielsetzungen erreichen?,Will you achieve your goals?,Werden Sie Ihre Ziele erreichen?
"Additional terms will apply if you make a purchase via our sites or in some cases, to particular features or promotions.","Zusätzliche Bedingungen finden unter Umständen Anwendung, wenn Sie Käufe über unsere Websites tätigen oder von bestimmten Nutzungsmöglichkeiten oder Gewinnspielen Gebrauch machen.",Additional terms and conditions may apply when you make purchases through our websites or participate in certain features or contests.,"Wenn Sie über unsere Websites einen Kauf tätigen, gelten zusätzliche Bedingungen oder in einigen Fällen auch für bestimmte Funktionen oder Werbeaktionen."
Protocols have since been added to it over time.,Seitdem wurden im Laufe der Zeit Protokolle hinzugefügt.,"Since then, protocols have been added over time.",Im Laufe der Zeit wurden Protokolle hinzugefügt.
Caracas is the capital and largest city of Venezuela .,Caracas ist die Hauptstadt und die größte Stadt von Venezuela .,Caracas is the capital and largest city of Venezuela.,Caracas ist die Hauptstadt und größte Stadt Venezuelas.
"These materials will be presented during presentational events in the ""Tesla"" (Berlin), at the Media Art Association (Medienkunstverein, Dortmund) and in the Riff in the New Theatre in Halle (Neues Theater Halle) in 2007.","Portraitiert werden darin unter anderem die Veteranen, die in dem einst geheimen Militärobjekt ""825"" dienten und Bewohner, die in der ehemals geschlossenen Garnison Balaklawa lebten. Die Filme können auf DVD über info@balaklava-odyssey.com bezogen werden.","The films portray, among others, the veterans who served at the once-secret military facility &quot;825&quot; and residents who lived in the formerly closed Balaklava garrison. The films are available on DVD from info@balaklava-odyssey.com.","Diese Materialien werden im Rahmen von Präsentationsveranstaltungen im „Tesla“ (Berlin), im Medienkunstverein (Dortmund) und im Riff im Neuen Theater Halle 2007 präsentiert."
"After the death of Gary Mitchell, Kirk came to depend on Spock's detached, logical analysis as a supplement to his own intuitive and impulsive nature.","Die SS Huron bringt das lebensrettende Medikament zur Enterprise, aber das Schiff wird auf den Weg dorthin von den Orioner überfallen.","The SS Huron brings the life-saving medicine to the Enterprise, but the ship is ambushed by the Orions on the way there.","Nach dem Tod von Gary Mitchell war Kirk auf Spocks distanzierte, logische Analyse als Ergänzung zu seiner eigenen intuitiven und impulsiven Natur angewiesen."
"Here some facts, photos and a 3D Video Animation (2,6 MB - 25 sec).","Hier einige Fakten, Fotos und eine 3D Video Animation (2,6 MB - 25 sec).","Here are some facts, photos and a 3D video animation (2.6 MB - 25 sec).","Hier einige Fakten, Fotos und eine 3D-Videoanimation (2,6 MB – 25 Sek.)."
"From April 11 - 15, 2010, 130 scientists from all over the world joined the NaNaX4 conference at the Evangelische Akademie at Tutzing close to Munich.",Wissenschaftler aus aller Welt trafen sich vom 11. bis 15. April 2010 zur vierten NaNaX Konferenz in der Evangelischen Akademie in Tutzing bei München.,"Scientists from all over the world met from April 11 to 15, 2010, for the fourth NaNaX conference at the Evangelical Academy in Tutzing near Munich.",Vom 11. bis 15. April 2010 nahmen 130 Wissenschaftler aus aller Welt an der NaNaX4-Konferenz in der Evangelischen Akademie in Tutzing bei München teil.
I believe that improving these enterprises' access to capital can play a key role in boosting the European economy and combating unemployment.,"Ich glaube, dass ein verbesserter Zugang dieser Unternehmen zu Kapital zu einer Schlüsselfunktion dabei werden kann, die europäische Wirtschaft wieder in Schwung zu bringen und Arbeitslosigkeit zu bekämpfen.",I believe that improved access to capital for these companies can play a key role in revitalizing the European economy and combating unemployment.,"Ich bin davon überzeugt, dass die Verbesserung des Zugangs dieser Unternehmen zu Kapital eine Schlüsselrolle bei der Ankurbelung der europäischen Wirtschaft und der Bekämpfung der Arbeitslosigkeit spielen kann."
Who can believe that peace for the Israelis and Palestinians will be built through a policy that in fact leads to the radicalisation of the people of Israel and of Palestine?,"Wer kann glauben, dass der Frieden für Israelis und Palästinenser im Gefolge einer Politik entsteht, die in Wahrheit zur Radikalisierung der Menschen in Israel und in Palästina führt?",Who can believe that peace for Israelis and Palestinians will come as a result of policies that actually lead to the radicalization of the people in Israel and Palestine?,"Wer kann glauben, dass Frieden für Israelis und Palästinenser durch eine Politik erreicht werden kann, die in Wirklichkeit zur Radikalisierung der Bevölkerung Israels und Palästinas führt?"
"Every day there is a new challenge for the whole family, and lots of fun and good humour to be had in Altenmarkt-Zauchensee.",Jeden Tag eine neue Herausforderung für die ganze Familie mit viel Spaß und guter Laune in Altenmarkt-Zauchensee.,Every day a new challenge for the whole family with lots of fun and good humor in Altenmarkt-Zauchensee.,Jeden Tag gibt es in Altenmarkt-Zauchensee eine neue Herausforderung für die ganze Familie und jede Menge Spaß und gute Laune.
"The name ""Margherita"" has been done in homage to their mother and grandmother, Margherita Ancellotti, who with its dowry of two cows concurred with her husband Angelo Gandolfi to begin a small breeding which their sons and grandsons have progressively widened and improved.","Der Name ""Margherita Züchtung"" ist eine Geschenk zum Mutter / Großmutter (für die Enkel) Frau Margherita Ancellotti, Ehefrau Herrn Angelo Gandolfi, daß es, mit einer kleiner Besitz von 2 Kühen hat anzufangt einer kleinen Zucht die die Kinder und die Enkel hatten erweitert und verbessert.","The name &quot;Margherita Breeding&quot; is a gift to the mother / grandmother (for the grandchildren) Mrs. Margherita Ancellotti, wife of Mr. Angelo Gandolfi, who started with a small holding of 2 cows, a small breeding farm that the children and grandchildren have expanded and improved.","Der Name „Margherita“ ist eine Hommage an ihre Mutter und Großmutter, Margherita Ancellotti, die mit ihrer Mitgift von zwei Kühen zusammen mit ihrem Ehemann Angelo Gandolfi eine kleine Zucht gründete, die ihre Söhne und Enkel nach und nach erweitert und verbessert haben."
I welcome the recent article written by him in the New York Times in which he stated that the Palestinians were ready to end the conflict with Israel.,"Ich begrüße den Artikel, den er unlängst für die ""New York Times "" schrieb und in dem er feststellte, dass die Palästinenser bereit seien, den Konflikt mit Israel zu beenden.",I welcome the article he recently wrote for the New York Times in which he stated that the Palestinians are ready to end the conflict with Israel.,"Ich begrüße seinen jüngsten Artikel in der New York Times, in dem er erklärte, die Palästinenser seien bereit, den Konflikt mit Israel zu beenden."
"The gardens´ individual pavilions contain collections of tropical plants from countries of the Old and New World and Australia, in addition to cacti and carnivorous plants.","B. mit der tropischen Flora der Alten Welt, der Neuen Welt sowie Australiens vertraut machen und in einem anderen Pavillon Kakteen bewundern oder fleischfressende Pflanzen studieren kann.","For example, you can familiarise yourself with the tropical flora of the Old World, the New World and Australia, and in another pavilion you can admire cacti or study carnivorous plants.",Die einzelnen Pavillons des Gartens beherbergen neben Kakteen und fleischfressenden Pflanzen auch Sammlungen tropischer Pflanzen aus Ländern der Alten und Neuen Welt sowie aus Australien.
"Centrist parties pay the price for their support of the European integration project, and are repudiated in the polls by parties of the extreme right or extreme left.",Zentristische Parteien bezahlen den Preis für ihre Unterstützung des europäischen Integrationsprojekts und werden bei Wahlen von rechts- und linksextremen Parteien überflügelt.,Centrist parties are paying the price for their support of the European integration project and are being outperformed in elections by far-right and far-left parties.,Die Parteien der Mitte zahlen den Preis für ihre Unterstützung des europäischen Integrationsprojekts und werden in den Umfragen von Parteien der extremen Rechten oder der extremen Linken zurückgewiesen.
Holder of a Swiss National Heritage award for the preservation of architecture and the original settlement character of the valley.,Auszeichnung des Schweizerischen Heimatschutzes für den Erhalt des Siedlungscharakters im Tal.,Award from the Swiss Heritage Society for preserving the settlement character of the valley.,Träger des Schweizerischen Denkmalschutzpreises für die Erhaltung der Architektur und des ursprünglichen Siedlungscharakters des Tals.
"Disgusting smell , came in room via air system.",Das Bad war in meinem Zimmer sehr einfach gehalten.,The bathroom in my room was very simple.,"Ekelhafter Geruch, der über die Klimaanlage ins Zimmer drang."
